query_id,doc_id,ltr_score,colbert_score,final_score,original_rank,new_rank
1007,1785123,-1.722079,0.0,0.0,1,1
1007,38172680,-2.844833,0.0,0.0,2,2
1007,34890118,-3.052754,0.0,0.0,3,3
1007,47521304,-3.708126,0.0,0.0,4,4
1007,26082844,-3.800866,0.0,0.0,5,5
1007,71815174,-3.842719,0.0,0.0,6,6
1007,30884765,-3.885112,0.0,0.0,7,7
1007,4141849,-3.928456,0.0,0.0,8,8
1007,21371379,-4.129177,0.0,0.0,9,9
1007,13810029,-4.144046,0.0,0.0,10,10
1007,1979772,-4.413047,0.0,0.0,11,11
1007,72924011,-4.491405,0.0,0.0,12,12
1007,6030184,-4.523207,0.0,0.0,13,13
1007,41188920,-4.523912,0.0,0.0,14,14
1007,22101232,-4.607441,0.0,0.0,15,15
1007,4162883,-4.658158,0.0,0.0,16,16
1007,3644025,-4.661038,0.0,0.0,17,17
1007,40903226,-4.66959,0.0,0.0,18,18
1007,26007240,-4.699705,0.0,0.0,19,19
1007,39711202,-4.709403,0.0,0.0,20,20
1007,43724730,-4.809774,0.0,0.0,21,21
1007,53574426,-4.810707,0.0,0.0,22,22
1007,5721251,-4.85836,0.0,0.0,23,23
1007,6847340,-4.891551,0.0,0.0,24,24
1007,1853749,-4.94345,0.0,0.0,25,25
1007,19353609,-4.964363,0.0,0.0,26,26
1007,3979809,-4.964769,0.0,0.0,27,27
1007,9791565,-5.009789,0.0,0.0,28,28
1007,7275095,-5.020473,0.0,0.0,29,29
1007,34914699,-5.09893,0.0,0.0,30,30
1007,3459329,-5.11115,0.0,0.0,31,31
1007,74364662,-5.135235,0.0,0.0,32,32
1007,2554327,-5.186508,0.0,0.0,33,33
1007,25369004,-5.198745,0.0,0.0,34,34
1007,4586256,-5.250442,0.0,0.0,35,35
1007,2325367,-5.291006,0.0,0.0,36,36
1007,73488,-5.316598,0.0,0.0,37,37
1007,528472,-5.333055,0.0,0.0,38,38
1007,1921364,-5.34536,0.0,0.0,39,39
1007,4287489,-5.34697,0.0,0.0,40,40
1007,41275538,-5.352121,0.0,0.0,41,41
1007,71551745,-5.354236,0.0,0.0,42,42
1007,41723586,-5.363604,0.0,0.0,43,43
1007,46925320,-5.463021,0.0,0.0,44,44
1007,56690266,-5.46652,0.0,0.0,45,45
1007,58550173,-5.485422,0.0,0.0,46,46
1007,75131737,-5.50637,0.0,0.0,47,47
1007,1771762,-5.519076,0.0,0.0,48,48
1007,2122364,-5.737811,0.0,0.0,49,49
1007,10386770,-5.775632,0.0,0.0,50,50
1014,1848829,-2.837064,0.0,0.0,1,1
1014,32111821,-2.857415,0.0,0.0,2,2
1014,34837447,-2.962294,0.0,0.0,3,3
1014,20291261,-3.135606,0.0,0.0,4,4
1014,3921202,-3.183821,0.0,0.0,5,5
1014,14421585,-3.225479,0.0,0.0,6,6
1014,33327349,-3.654579,0.0,0.0,7,7
1014,63064740,-3.659752,0.0,0.0,8,8
1014,49991491,-3.661687,0.0,0.0,9,9
1014,1076877,-3.73794,0.0,0.0,10,10
1014,4905614,-3.753717,0.0,0.0,11,11
1014,40276010,-3.976867,0.0,0.0,12,12
1014,6574313,-4.025983,0.0,0.0,13,13
1014,3313054,-4.029074,0.0,0.0,14,14
1014,5818987,-4.305864,0.0,0.0,15,15
1014,56032221,-4.315269,0.0,0.0,16,16
1014,33361939,-4.56817,0.0,0.0,17,17
1014,34595991,-4.618593,0.0,0.0,18,18
1014,41454407,-4.676553,0.0,0.0,19,19
1014,1720761,-4.713027,0.0,0.0,20,20
1014,56990004,-4.807103,0.0,0.0,21,21
1014,24816891,-4.914702,0.0,0.0,22,22
1014,5429326,-4.980032,0.0,0.0,23,23
1014,24725751,-5.013555,0.0,0.0,24,24
1014,56326626,-5.02909,0.0,0.0,25,25
1014,13482788,-5.047407,0.0,0.0,26,26
1014,39850674,-5.081673,0.0,0.0,27,27
1014,2066600,-5.171463,0.0,0.0,28,28
1014,28513216,-5.1736,0.0,0.0,29,29
1014,44489327,-5.200273,0.0,0.0,30,30
1014,13952211,-5.234406,0.0,0.0,31,31
1014,26163627,-5.303072,0.0,0.0,32,32
1014,1862671,-5.344074,0.0,0.0,33,33
1014,65732120,-5.347848,0.0,0.0,34,34
1014,9164973,-5.403874,0.0,0.0,35,35
1014,20242250,-5.408132,0.0,0.0,36,36
1014,7407098,-5.437623,0.0,0.0,37,37
1014,5221569,-5.473975,0.0,0.0,38,38
1014,8367659,-5.478115,0.0,0.0,39,39
1014,2183017,-5.485197,0.0,0.0,40,40
1014,36232890,-5.537321,0.0,0.0,41,41
1014,213471,-5.626589,0.0,0.0,42,42
1014,3909547,-5.633426,0.0,0.0,43,43
1014,43484109,-5.638461,0.0,0.0,44,44
1014,42024868,-5.664948,0.0,0.0,45,45
1014,29195939,-5.677178,0.0,0.0,46,46
1014,1798219,-5.685772,0.0,0.0,47,47
1014,30087394,-5.692263,0.0,0.0,48,48
1014,14785108,-5.696652,0.0,0.0,49,49
1014,9545952,-5.722011,0.0,0.0,50,50
1015,4520121,2.978255,0.0,0.0,1,1
1015,10650919,-1.315338,0.0,0.0,2,2
1015,37552898,-1.993266,0.0,0.0,3,3
1015,5561269,-2.975208,0.0,0.0,4,4
1015,24259105,-3.713233,0.0,0.0,5,5
1015,19839187,-3.898409,0.0,0.0,6,6
1015,7595223,-3.963127,0.0,0.0,7,7
1015,1720166,-4.036958,0.0,0.0,8,8
1015,58970275,-4.097105,0.0,0.0,9,9
1015,1261485,-4.243491,0.0,0.0,10,10
1015,1388981,-4.366136,0.0,0.0,11,11
1015,532618,-4.443505,0.0,0.0,12,12
