qid,docno,original_score,similarity_score,final_score,rank
109,12794804,-5.988073,0.5474779009819031,0.5474779009819031,1
109,41232839,-5.827976,0.5392503142356873,0.5392503142356873,2
109,3979809,3.570954,0.5252076387405396,0.5252076387405396,3
109,2247831,-6.63713,0.5220259428024292,0.5220259428024292,4
109,4180145,-1.833544,0.5207688808441162,0.5207688808441162,5
109,24900519,-5.147594,0.5186136364936829,0.5186136364936829,6
109,21463984,-1.245654,0.5136823654174805,0.5136823654174805,7
109,36849366,-0.109876,0.5134425759315491,0.5134425759315491,8
109,2052373,-5.845342,0.5069359540939331,0.5069359540939331,9
109,24061146,-6.11531,0.5000952482223511,0.5000952482223511,10
109,4498832,-6.407868,0.4970571994781494,0.4970571994781494,11
109,61971723,-5.813514,0.4960792362689972,0.4960792362689972,12
109,4515631,-3.809954,0.49528318643569946,0.49528318643569946,13
109,33290083,-2.158681,0.4912182688713074,0.4912182688713074,14
109,3661958,-5.819369,0.48958826065063477,0.48958826065063477,15
109,30430079,-3.710813,0.48882758617401123,0.48882758617401123,16
109,4499062,-5.862275,0.4885839819908142,0.4885839819908142,17
109,27697789,-6.143808,0.4885760545730591,0.4885760545730591,18
109,46289492,-6.188059,0.4884141981601715,0.4884141981601715,19
109,10313028,-1.98286,0.48840320110321045,0.48840320110321045,20
109,36588139,-6.220828,0.4884015619754791,0.4884015619754791,21
109,21876111,-5.856556,0.4858640134334564,0.4858640134334564,22
109,41980795,-5.3849,0.48451611399650574,0.48451611399650574,23
109,40141006,-6.353355,0.480419784784317,0.480419784784317,24
109,12161221,-2.634079,0.4783545732498169,0.4783545732498169,25
109,4498688,-3.784385,0.47480514645576477,0.47480514645576477,26
109,68944421,-3.624874,0.47059565782546997,0.47059565782546997,27
109,11892657,-1.554629,0.4652087390422821,0.4652087390422821,28
109,6531454,-5.538328,0.4645402729511261,0.4645402729511261,29
109,30854893,-5.190562,0.4621860682964325,0.4621860682964325,30
109,21835208,-6.433151,0.4621324837207794,0.4621324837207794,31
109,1829448,-5.212653,0.4615280032157898,0.4615280032157898,32
109,36543701,-5.874265,0.4593820869922638,0.4593820869922638,33
109,41369005,-5.047481,0.45739006996154785,0.45739006996154785,34
109,5056637,-6.60876,0.45294344425201416,0.45294344425201416,35
109,3253340,-5.419569,0.451938658952713,0.451938658952713,36
109,51668536,-3.128491,0.45014697313308716,0.45014697313308716,37
109,23244306,-6.507359,0.44204723834991455,0.44204723834991455,38
109,2936667,-5.518492,0.44199061393737793,0.44199061393737793,39
109,1610321,-5.443492,0.44071993231773376,0.44071993231773376,40
109,1254881,-6.088514,0.4405321776866913,0.4405321776866913,41
109,39423991,-6.303238,0.43619072437286377,0.43619072437286377,42
109,2263255,-5.478145,0.4346538186073303,0.4346538186073303,43
109,64527137,-4.55727,0.42975401878356934,0.42975401878356934,44
109,36925691,-6.151481,0.4286445379257202,0.4286445379257202,45
109,12995615,-5.234952,0.4243305027484894,0.4243305027484894,46
109,11892585,-5.644847,0.4225868284702301,0.4225868284702301,47
109,44213125,-5.255032,0.42210546135902405,0.42210546135902405,48
109,43520483,-6.308851,0.4113924205303192,0.4113924205303192,49
109,3216798,-6.324973,0.41057339310646057,0.41057339310646057,50
109,32792036,-6.608949,0.4104320704936981,0.4104320704936981,51
109,6675128,-5.546985,0.40379250049591064,0.40379250049591064,52
109,1040518,-6.145204,0.401189923286438,0.401189923286438,53
109,43844978,-5.657527,0.4007221758365631,0.4007221758365631,54
109,2681729,-6.24201,0.4005477726459503,0.4005477726459503,55
109,4305830,-6.377478,0.3986660838127136,0.3986660838127136,56
109,74937144,-6.530361,0.3936275541782379,0.3936275541782379,57
109,14665333,-4.911525,0.39198118448257446,0.39198118448257446,58
109,36024606,-6.652151,0.3761982321739197,0.3761982321739197,59
109,19737523,-6.385336,0.3695603907108307,0.3695603907108307,60
109,41604211,-6.439488,0.36820340156555176,0.36820340156555176,61
109,29374058,-6.545173,0.36081448197364807,0.36081448197364807,62
109,50669611,-4.737019,0.3598468601703644,0.3598468601703644,63
109,53017641,-5.372629,0.35835155844688416,0.35835155844688416,64
109,15185206,-6.347218,0.35816481709480286,0.35816481709480286,65
109,35545950,-5.150479,0.35625404119491577,0.35625404119491577,66
109,4344088,-6.408853,0.35604628920555115,0.35604628920555115,67
109,67202144,-5.085405,0.3558913767337799,0.3558913767337799,68
109,66320316,-5.652922,0.3548182249069214,0.3548182249069214,69
109,41766912,-4.551162,0.35211724042892456,0.35211724042892456,70
109,45257290,-6.346862,0.34568482637405396,0.34568482637405396,71
109,19355191,-5.360228,0.3442012071609497,0.3442012071609497,72
109,47307911,-6.526662,0.344180703163147,0.344180703163147,73
109,2280264,-5.430638,0.34237995743751526,0.34237995743751526,74
109,47109653,-6.668181,0.3392428457736969,0.3392428457736969,75
109,52128196,-6.177668,0.33898094296455383,0.33898094296455383,76
109,7276187,-6.196039,0.33365169167518616,0.33365169167518616,77
109,4382512,-5.758042,0.3288685381412506,0.3288685381412506,78
109,68721381,-5.508318,0.3261675536632538,0.3261675536632538,79
109,41018293,-6.574796,0.3244260251522064,0.3244260251522064,80
109,7373674,-4.616741,0.32257527112960815,0.32257527112960815,81
109,4644909,-5.859005,0.3213372826576233,0.3213372826576233,82
109,10982087,-5.795672,0.31476956605911255,0.31476956605911255,83
109,39174847,-6.639105,0.31172582507133484,0.31172582507133484,84
109,529838,-5.724606,0.3077622056007385,0.3077622056007385,85
109,3283241,-5.696534,0.3045225143432617,0.3045225143432617,86
109,40772995,-6.339005,0.2902589738368988,0.2902589738368988,87
109,7374547,-5.541597,0.28543636202812195,0.28543636202812195,88
109,982689,-6.427929,0.2687488794326782,0.2687488794326782,89
109,518988,-4.868973,0.2656734883785248,0.2656734883785248,90
109,7147000,-5.399608,0.2602919042110443,0.2602919042110443,91
109,41712946,-5.473798,0.25896263122558594,0.25896263122558594,92
109,5302423,-5.510924,0.23294512927532196,0.23294512927532196,93
109,1508132,-4.31731,0.2327490895986557,0.2327490895986557,94
109,4694192,-6.55203,0.22177205979824066,0.22177205979824066,95
109,32776974,-6.136297,0.21111372113227844,0.21111372113227844,96
109,22396775,-6.494278,0.20144817233085632,0.20144817233085632,97
109,1147170,-6.563783,0.1745501458644867,0.1745501458644867,98
109,16933519,-6.266342,0.16172175109386444,0.16172175109386444,99
109,2393495,-5.303042,0.06999795138835907,0.06999795138835907,100
113,34083665,-1.890364,0.5634563565254211,0.5634563565254211,1
113,6373750,-4.444708,0.49488919973373413,0.49488919973373413,2
113,15688731,-6.079451,0.464074969291687,0.464074969291687,3
113,71519764,-0.983887,0.4563303589820862,0.4563303589820862,4
113,225622,-4.80202,0.45385539531707764,0.45385539531707764,5
113,215316,-4.841916,0.45338743925094604,0.45338743925094604,6
113,57235599,-4.137297,0.45121899247169495,0.45121899247169495,7
113,8190800,-6.798449,0.44039416313171387,0.44039416313171387,8
113,11682101,-4.292263,0.43940219283103943,0.43940219283103943,9
113,6094307,-1.400091,0.4359762370586395,0.4359762370586395,10
113,68879102,-2.749646,0.42419084906578064,0.42419084906578064,11
113,43390495,-7.117852,0.4230510890483856,0.4230510890483856,12
113,1263101,-4.004387,0.4201851785182953,0.4201851785182953,13
113,44556119,-2.886898,0.4180315136909485,0.4180315136909485,14
113,26974355,-7.084942,0.4134451746940613,0.4134451746940613,15
113,47028189,-4.338644,0.4125005602836609,0.4125005602836609,16
